source_row	year	doi	title	why	status	epmc_pmcid	epmc_is_open_access	epmc_in_epmc	epmc_source_url	crossref_title	crossref_cc_license_url	crossref_license_version	crossref_fulltext_url	crossref_fulltext_content_type	notes	audit_schema
188	2016	10.1186/s13395-016-0116-4	Laminin 521 maintains differentiation potential of mouse and human satellite cell-derived myoblasts during long-term culture expansion	Laminin 521 maintains myoblast expansion	epmc_jats_candidate	PMC5154152	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5154152/fullTextXML	Laminin 521 maintains differentiation potential of mouse and human satellite cell-derived myoblasts during long-term culture expansion			http://link.springer.com/content/pdf/10.1186/s13395-016-0116-4.pdf	application/pdf		zotero-oa-audit-v1
189	2015	10.1016/s2095-3119(14)60882-0	Artificial meat? Feasible approach based on the experience from cell culture studies	Reviews growth factors for muscle cell propagation	crossref_cc_vor_candidate					Artificial meat? Feasible approach based on the experience from cell culture studies	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S2095311914608820?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
190	2015	10.1016/j.yexcr.2015.07.021	Elastic hydrogel substrate supports robust expansion of murine myoblasts and enhances their engraftment	hydrogel substrate for myoblast expansion	metadata_only_license_unverified		N	N		Elastic hydrogel substrate supports robust expansion of murine myoblasts and enhances their engraftment			https://api.elsevier.com/content/article/PII:S0014482715300513?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
191	2015	10.1089/ten.tec.2015.0166	Decelerating Mature Adipocyte Dedifferentiation by Media Composition	Media composition for adipocyte dedifferentiation	metadata_only_license_unverified		N	N		Decelerating Mature Adipocyte Dedifferentiation by Media Composition			https://journals.sagepub.com/doi/full-xml/10.1089/ten.tec.2015.0166	application/xml		zotero-oa-audit-v1
192	2015	10.1371/journal.pone.0127675	Interactions between Skeletal Muscle Myoblasts and their Extracellular Matrix Revealed by a Serum Free Culture System	Serum-free culture for myoblast proliferation	epmc_jats_candidate	PMC4450880	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4450880/fullTextXML	Interactions between Skeletal Muscle Myoblasts and their Extracellular Matrix Revealed by a Serum Free Culture System	http://creativecommons.org/licenses/by/4.0/	vor	http://dx.plos.org/10.1371/journal.pone.0127675	unspecified		zotero-oa-audit-v1
193	2015	10.1039/c5ib00060b	Microfluidic analysis of extracellular matrix-bFGF crosstalk on primary human myoblast chemoproliferation, chemokinesis, and chemotaxis	bFGF chemoproliferation in medium	metadata_only_license_unverified	PMC4528978	N	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4528978/fullTextXML	Microfluidic analysis of extracellular matrix-bFGF crosstalk on primary human myoblast chemoproliferation, chemokinesis, and chemotaxis			http://pubs.rsc.org/en/content/articlepdf/2015/IB/C5IB00060B	unspecified		zotero-oa-audit-v1
194	2015	10.1007/s11626-015-9916-9	Differentiation of bovine satellite cell-derived myoblasts under different culture conditions	Differentiation media tested, serum-free	metadata_only_license_unverified		N	N		Differentiation of bovine satellite cell-derived myoblasts under different culture conditions			http://link.springer.com/content/pdf/10.1007/s11626-015-9916-9.pdf	application/pdf		zotero-oa-audit-v1
195	2014	10.3892/ijmm.2013.1555	Evaluation of the effects of different culture media on the myogenic differentiation potential of adipose tissue- or bone marrow-derived human mesenchymal stem cells	Myogenic differentiation media comparison	metadata_only_license_unverified		N	N		Evaluation of the effects of different culture media on the myogenic differentiation potential of adipose tissue- or bone marrow-derived human mesenchymal stem cells			https://spandidos-publications.com/10.3892/ijmm.2013.1555/download	unspecified		zotero-oa-audit-v1
196	2014	10.3382/ps.2013-03300	Decorin-induced proliferation of avian myoblasts involves the myostatin/Smad signaling pathway	Decorin promotes avian myoblast proliferation	crossref_cc_vor_candidate		N	N		Decorin-induced proliferation of avian myoblasts involves the myostatin/Smad signaling pathway	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S0032579119359929?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
197	2013	10.1016/j.cbpa.2013.01.001	Effects of 17β-estradiol on turkey myogenic satellite cell proliferation, differentiation, and expression of glypican-1, MyoD and myogenin	Estradiol effects on satellite cell proliferation	metadata_only_license_unverified		N	N		Effects of 17β-estradiol on turkey myogenic satellite cell proliferation, differentiation, and expression of glypican-1, MyoD and myogenin			https://api.elsevier.com/content/article/PII:S1095643313000020?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
198	2012	10.1186/1471-2121-13-16	A simplified but robust method for the isolation of avian and mammalian muscle satellite cells	satellite cell isolation method	epmc_jats_candidate	PMC3432597	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3432597/fullTextXML	A simplified but robust method for the isolation of avian and mammalian muscle satellite cells	http://creativecommons.org/licenses/by/2.0	tdm	http://link.springer.com/content/pdf/10.1186/1471-2121-13-16.pdf	application/pdf		zotero-oa-audit-v1
199	2011	10.1016/j.jbiosc.2011.05.007	Enhanced contractile force generation by artificial skeletal muscle tissues using IGF-I gene-engineered myoblast cells	IGF-I gene enhances myoblast proliferation	metadata_only_license_unverified		N	N		Enhanced contractile force generation by artificial skeletal muscle tissues using IGF-I gene-engineered myoblast cells			https://api.elsevier.com/content/article/PII:S1389172311001903?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
200	2009	10.1007/s11626-009-9192-7	Developing a novel serum-free cell culture model of skeletal muscle differentiation by systematically studying the role of different growth factors in myotube formation	Serum-free medium for skeletal muscle differentiation	metadata_only_license_unverified	PMC3787515	N	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3787515/fullTextXML	Developing a novel serum-free cell culture model of skeletal muscle differentiation by systematically studying the role of different growth factors in myotube formation			http://link.springer.com/content/pdf/10.1007/s11626-009-9192-7.pdf	application/pdf		zotero-oa-audit-v1
201	2009	10.1002/bit.22318	Novel method for fabrication of skeletal muscle construct from the C2C12 myoblast cell line using serum-free medium AIM-V	Serum-free medium for myoblast construct	metadata_only_license_unverified		N	N		Novel method for fabrication of skeletal muscle construct from the C2C12 myoblast cell line using serum‐free medium AIM‐V			https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fbit.22318	unspecified		zotero-oa-audit-v1
202	2009	10.1152/ajpcell.00015.2009	Essential environmental cues from the satellite cell niche: optimizing proliferation and differentiation	Satellite cell niche, proliferation medium optimization	metadata_only_license_unverified		N	N		Essential environmental cues from the satellite cell niche: optimizing proliferation and differentiation			https://journals.physiology.org/doi/pdf/10.1152/ajpcell.00015.2009	unspecified		zotero-oa-audit-v1
203	2008	10.1002/jcp.21371	Decorin enhances the proliferation and differentiation of myogenic cells through suppressing myostatin activity	Decorin enhances proliferation via myostatin	metadata_only_license_unverified		N	N		Decorin enhances the proliferation and differentiation of myogenic cells through suppressing myostatin activity			https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fjcp.21371	unspecified		zotero-oa-audit-v1
204	2007	10.1016/j.neuroscience.2007.01.068	Embryonic motoneuron-skeletal muscle co-culture in a defined system	Serum-free defined co-culture system	metadata_only_license_unverified		N	N		Embryonic motoneuron-skeletal muscle co-culture in a defined system			https://api.elsevier.com/content/article/PII:S0306452207001005?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
205	2007	10.1021/pr060448k	Identification of secreted proteins during skeletal muscle development	Serum-free medium, secreted proteins	metadata_only_license_unverified		N	N		Identification of Secreted Proteins during Skeletal Muscle Development			https://pubs.acs.org/doi/pdf/10.1021/pr060448k	unspecified		zotero-oa-audit-v1
206	2006	10.1016/j.cbpa.2006.04.020	Effect of myostatin on turkey myogenic satellite cells and embryonic myoblasts	Myostatin effect on satellite cells in serum-free medium	metadata_only_license_unverified		N	N		Effect of myostatin on turkey myogenic satellite cells and embryonic myoblasts			https://api.elsevier.com/content/article/PII:S109564330600211X?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
207	2004	10.1002/jcp.10422	Dermatan sulfate exerts an enhanced growth factor response on skeletal muscle satellite cell proliferation and migration	Dermatan sulfate enhances satellite cell proliferation	metadata_only_license_unverified		N	N		Dermatan sulfate exerts an enhanced growth factor response on skeletal muscle satellite cell proliferation and migration			https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fjcp.10422	unspecified		zotero-oa-audit-v1
208	2002		Extracellular matrix histone H1 binds to perlecan, is present in regenerating skeletal muscle and stimulates myoblast proliferation	histone H1 stimulates myoblast proliferation	missing_doi											zotero-oa-audit-v1
209	2002	10.1002/jbm.10192	Glycosaminoglycan mimetics (RGTA) modulate adult skeletal muscle satellite cell proliferation in vitro	RGTA modulates satellite cell proliferation in vitro	metadata_only_license_unverified		N	N		Glycosaminoglycan mimetics (RGTA) modulate adult skeletal muscle satellite cell proliferation <i>in vitro</i>			https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fjbm.10192	unspecified		zotero-oa-audit-v1
210	2001	10.1002/1097-4652(200102)186:2<183::aid-jcp1020>3.0.co;2-q	Growth factor supplemented Matrigel improves ectopic skeletal muscle formation - A cell therapy approach	Growth factors in Matrigel for proliferation	metadata_only_license_unverified		N	N		Growth factor supplemented matrigel improves ectopic skeletal muscle formation?a cell therapy approach			https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2F1097-4652(200102)186:2%3C183::AID-JCP1020%3E3.0.CO;2-Q	unspecified		zotero-oa-audit-v1
211	2000	10.1159/000016776	Differentiation of myoblasts in serum-free media: effects of modified media are cell line-specific	Serum-free differentiation media comparison	metadata_only_license_unverified		N	N		Differentiation of Myoblasts in Serum-Free Media: Effects of Modified Media Are Cell Line-Specific			https://www.karger.com/Article/Pdf/16776	application/pdf		zotero-oa-audit-v1
212	1991	10.1152/ajpcell.1991.260.3.c475	Insulin and IGF-I induce pronounced hypertrophy of skeletal myofibers in tissue culture	Serum-free medium, IGF-I/insulin for hypertrophy	metadata_only_license_unverified		N	N		Insulin and IGF-I induce pronounced hypertrophy of skeletal myofibers in tissue culture			https://journals.physiology.org/doi/pdf/10.1152/ajpcell.1991.260.3.C475	unspecified		zotero-oa-audit-v1
213	1976		New media and their advantages in the production of suspended cells and foot--and--mouth disease virus	Serum-free media with peptones for BHK cells	missing_doi											zotero-oa-audit-v1
